Table 6-22:  Quantitative Uncertainty Estimates for Mineral Soil C Stock Changes (MMT CO2 Eq. per yr) in 2014 Occurring Within Land Converted to Forest Land,,,,,,
,,,,,,
,,2014 Flux Estimate,Uncertainty Range Relative to Flux Rangea,,,
,Source,(MMT CO2 Eq.),(MMT CO2 Eq.) ,,(%),
,,,Lower ,Upper ,Lower ,Upper 
,,,Bound,Bound,Bound,Bound
,Cropland Converted to Forest Land,,,,,
,Mineral Soils Tier 2,-0.1,-0.1,+,-99%,94%
,Grassland Converted to Forest Land,,,,,
,Mineral Soils Tier 2,-0.2,-0.5,+,-99%,94%
,Other Lands Converted to Forest Land,,,,,
,Mineral Soils Tier 2,+,-0.1,+,-99%,94%
,Settlements Converted to Forest Land,,,,,
,Mineral Soils Tier 2,+,+,+,-99%,94%
,Wetlands Converted to Forest Land,,,,,
,Mineral Soils Tier 2,+,+,+,-99%,94%
,Total: Lands Converted to Forest Lands,-0.3,-0.6,-0.1,-70%,67%
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,
,a Range of flux estimate for 95 percent confidence interval,,,,,
,Note: Parentheses indicate net sequestration.,,,,,
