"Table A-9: 1990-2014 Key Source Category Approach 1 and 2 Analysis—Trend Assessment, with LULUCF",,,,,,,
IPCC Source Categories,Direct GHG,1990 Estimate (MM TCO2 Eq.),2014 Estimate,Approach 1 Trend Assessment,Approach 2 Trend Assessment,Percent Contribution to Trend (%),Cumulative Contribution to Trend (%)
,,,(MMT CO2 Eq.),,,,
CH4 Emissions from Composting,CH4,0.4,2.1,<0.01 ,<0.001 ,0.1,99
N2O Emissions from Composting,N2O,0.3,1.8,<0.01 ,<0.001 ,0.1,99
Direct N2O Emissions from Agricultural Soil Management,N2O,245.0,261.0,<0.01 ,<0.001 ,0.1,99
Fugitive Emissions from Abandoned Underground Coal Mines,CH4,7.2,6.3,<0.01 ,<0.001 ,0.1,99
N2O Emissions from Wastewater Treatment,N2O,3.4,4.8,<0.01 ,<0.001 ,0.1,99
CO2 Emissions from Land Converted to Grassland,CO2,39.1,40.4,<0.01 ,<0.001 ,0.1,99
N2O Emissions from Settlement Soils,N2O,1.4,2.4,<0.01 ,<0.001 ,0.1,99
CO2 Emissions from Incineration of Waste,CO2,8.0,9.4,<0.01 ,<0.001 ,0.1,99
Non-CO2 Emissions from Stationary Combustion - Industrial,N2O,3.1,2.4,<0.01 ,<0.001 ,<0.1 ,99
CO2 Emissions from Liming,CO2,4.7,4.1,<0.01 ,<0.001 ,<0.1 ,100
"PFC, HFC, SF6, and NF3 Emissions from Semiconductor Manufacture",Several,3.6,4.5,<0.01 ,<0.001 ,<0.1 ,100
N2O Emissions from Mobile Combustion: Other,N2O,1.2,2.0,<0.01 ,<0.001 ,<0.1 ,100
Non-CO2 Emissions from Stationary Combustion - Residential,CH4,5.2,5.0,<0.01 ,<0.001 ,<0.1 ,100
CO2 Emissions from Phosphoric Acid Production,CO2,1.5,1.1,<0.01 ,<0.001 ,<0.1 ,100
CO2 Emissions from Titanium Dioxide Production,CO2,1.2,1.8,<0.01 ,<0.001 ,<0.1 ,100
N2O Emissions from Mobile Combustion: Aviation,N2O,1.7,1.4,<0.01 ,<0.001 ,<0.1 ,100
Non-CO2 Emissions from Stationary Combustion - Industrial,CH4,1.8,1.5,<0.01 ,<0.001 ,<0.1 ,100
N2O Emissions from Forest Soils,N2O,0.1,0.5,<0.01 ,<0.001 ,<0.1 ,100
CO2 Emissions from Land Converted to Forest Land,CO2,0.7,0.3,<0.01 ,<0.001 ,<0.1 ,100
CO2 Emissions from Ferroalloy Production,CO2,2.2,1.9,<0.01 ,<0.001 ,<0.1 ,100
CO2 Emissions from Glass Production,CO2,1.5,1.3,<0.01 ,<0.001 ,<0.1 ,100
CO2 Emissions from Zinc Production,CO2,0.6,1.0,<0.01 ,<0.001 ,<0.1 ,100
CO2 Emissions from Peatlands Remaining Peatlands,CO2,1.1,0.8,<0.01 ,<0.001 ,<0.1 ,100
N2O Emissions from Product Uses,N2O,4.2,4.2,<0.01 ,<0.001 ,<0.1 ,100
CO2 Emissions from Silicon Carbide Production and Consumption,CO2,0.4,0.2,<0.01 ,<0.001 ,<0.1 ,100
CO2 Emissions from Petroleum Systems,CO2,3.6,3.6,<0.01 ,<0.001 ,<0.1 ,100
N2O Emissions from Incineration of Waste,N2O,0.5,0.3,<0.01 ,<0.001 ,<0.1 ,100
CH4 Emissions from Mobile Combustion: Other,CH4,0.3,0.5,<0.01 ,<0.001 ,<0.1 ,100
N2O Emissions from Semiconductor Manufacture,N2O,+ ,0.2,<0.01 ,<0.001 ,<0.1 ,100
CO2 Emissions from Soda Ash Production and Consumption,CO2,2.8,2.8,<0.01 ,<0.001 ,<0.1 ,100
HFC-134a Emissions from Magnesium Production and Processing,HFCs,0.0,0.1,<0.01 ,<0.001 ,<0.1 ,100
Non-CO2 Emissions from Stationary Combustion - Residential,N2O,1.0,1.0,<0.01 ,<0.001 ,<0.1 ,100
CH4 Emissions from Petrochemical Production,CH4,0.2,0.1,<0.01 ,<0.001 ,<0.1 ,100
Non-CO2 Emissions from Stationary Combustion - Electricity Generation,CH4,0.3,0.4,<0.01 ,<0.001 ,<0.1 ,100
N2O Emissions from Mobile Combustion: Marine,N2O,0.6,0.5,<0.01 ,<0.001 ,<0.1 ,100
Non-CO2 Emissions from Stationary Combustion - Commercial,N2O,0.4,0.3,<0.01 ,<0.001 ,<0.1 ,100
CH4 Emissions from Mobile Combustion: Aviation,CH4,0.1,+ ,<0.01 ,<0.001 ,<0.1 ,100
CH4 Emissions from Field Burning of Agricultural Residues,CH4,0.2,0.3,<0.01 ,<0.001 ,<0.1 ,100
CO2 Emissions from Lead Production,CO2,0.5,0.5,<0.01 ,<0.001 ,<0.1 ,100
Non-CO2 Emissions from Stationary Combustion - U.S. Territories,N2O,0.1,0.1,<0.01 ,<0.001 ,<0.1 ,100
