Table A-120: Mine-Specific Data Used to Estimate Ventilation Emissions,
Year,Individual Mine Data Used
1990,All Mines Emitting at Least 0.1 MMCFD (Assumed to Account for 97.8% of Total)*
1991,1990 Emissions Factors Used Instead of Mine-Specific Data
1992,1990 Emissions Factors Used Instead of Mine-Specific Data
1993,All Mines Emitting at Least 0.1 MMCFD (Assumed to Account for 97.8% of Total)*
1994,All Mines Emitting at Least 0.1 MMCFD (Assumed to Account for 97.8% of Total)*
1995,All Mines Emitting at Least 0.5 MMCFD (Assumed to Account for 94.1% of Total)*
1996,All Mines Emitting at Least 0.5 MMCFD (Assumed to Account for 94.1% of Total)*
1997,All Mines with Detectable Emissions (Assumed to Account for 100% of Total)
1998,All Mines Emitting at Least 0.1 MMCFD (Assumed to Account for 97.8% of Total)*
1999,All Mines Emitting at Least 0.1 MMCFD (Assumed to Account for 97.8% of Total)*
2000,All Mines Emitting at Least 0.1 MMCFD (Assumed to Account for 97.8% of Total)*
2001,All Mines Emitting at Least 0.1 MMCFD (Assumed to Account for 97.8% of Total)*
2002,All Mines Emitting at Least 0.1 MMCFD (Assumed to Account for 97.8% of Total)*
2003,All Mines Emitting at Least 0.1 MMCFD (Assumed to Account for 97.8% of Total)*
2004,All Mines Emitting at Least 0.1 MMCFD (Assumed to Account for 97.8% of Total)*
2005,All Mines Emitting at Least 0.1 MMCFD (Assumed to Account for 97.8% of Total)*
2006,All Mines Emitting at Least 0.1 MMCFD (Assumed to Account for 97.8% of Total)*
2007,All Mines with Detectable Emissions (Assumed to Account for 100% of Total)
2008,All Mines Emitting at Least 0.1 MMCFD (Assumed to Account for 98.96% of Total)**
2009,All Mines Emitting at Least 0.1 MMCFD (Assumed to Account for 98.96% of Total)**
2010,All Mines Emitting at Least 0.1 MMCFD (Assumed to Account for 98.96% of Total)**
2011,All Mines Emitting at Least 0.1 MMCFD (Assumed to Account for 98.96% of Total)**
2012,All Mines Emitting at Least 0.1 MMCFD (Assumed to Account for 98.96% of Total)**
2013,All Mines with Detectable Emissions and GHGRP reported data (Assumed to account for 100% of Total)
2014,All Mines with Detectable Emissions and GHGRP reported data (Assumed to account for 100% of Total)
* Factor derived from a complete set of individual mine data collected for 1997.,
** Factor derived from a complete set of individual mine data collected for 2007.,
