Table A-255: Specific annual forest inventories by state used in development of forest C stock and stock change estimates,,,,,
Remeasured Annual Plots,,,Split Annual Cycle Plots,,
State,Time 1 Year Range,Time 2 Year Range,State,Time 1 Year Range,Time 2 Year Range
Alabama,2001 - 2009,2006 - 2014,Alaska (Coastal),2004 - 2008,2009 - 2013
Arkansas,"2000, 2002, 2004 - 2010",2009 - 2014,Arizona,2004 - 2008,2009 - 2013
Connecticut,2004 - 2008,2009 - 2013,California,2001 - 2005,2006 - 2010
Delaware,2004 - 2008,2009 - 2013,Colorado,2004 - 2008,2009 - 2013
Florida,"2002 - 2004, 2006 - 2007",2009 - 2013,Idaho,2004 - 2008,2009 - 2013
Georgia,1998 - 2009,"2005 - 2007, 2009 - 2013",Montana,2004 - 2008,2009 - 2013
Illinois,2004 - 2009,2009 - 2014,Nevada,2004 - 2008,2009 - 2013
Indiana,2004 - 2008,2009 - 2013,New Mexico,1999,2005 - 2013
Iowa,2004 - 2009,2009 - 2014,Oklahoma (West),2009 - 2010,2011 - 2013
Kansas,2004 - 2009,2009 - 2014,Oregon,2001 - 2005,2006 - 2010
Kentucky,2000 - 2009,"2005 - 2006, 2008 - 2012",Texas (West),2004 - 2007,2008 - 2012
Louisiana,"2001 - 2005, 2008",2009 - 2013,Utah,2004 - 2008,2009 - 2013
Maine,2004 - 2008,2009 - 2013,Washington,2002 - 2006,2007 - 2011
Maryland,2004 - 2008,2009 - 2013,Wyoming,2000,2011 - 2013
Massachusetts,2004 - 2008,2009 - 2013,,,
Michigan,2004 - 2009,2009 - 2014,,,
Minnesota,2005 - 2009,2010 - 2014,,,
Mississippi,2006,2009 - 2014,,,
Missouri,2004 - 2009,2009 - 2014,,,
Nebraska,2004 - 2008,2009 - 2013,,,
New Hampshire,2003 - 2008,2009 - 2013,,,
New Jersey,2004 - 2008,2009 - 2013,,,
New York,2003 - 2008,2009 - 2013,,,
North Carolina,2002 - 2007,"2003, 2005 - 2007, 2009 - 2014",,,
North Dakota,2004 - 2009,2009 - 2014,,,
Ohio,2003 - 2008,2009 - 2013,,,
Oklahoma (East),2008,2010 - 2013,,,
Pennsylvania,2004 - 2008,2009 - 2013,,,
Rhode Island,2004 - 2008,2009 - 2013,,,
South Carolina,2002 - 2010,2007 - 2013,,,
South Dakota,2004 - 2009,2009 - 2014,,,
Tennessee,2000 - 2009,2005 - 2012,,,
Texas (East),2002 - 2008,"2005, 2007 - 2012",,,
Vermont,2004 - 2008,2009 - 2013,,,
Virginia,"2002 - 2003, 2005 - 2010",2008 - 2013,,,
West Virginia,2004 - 2008,2009 - 2013,,,
Wisconsin,2004 - 2009,2009 - 2014,,,
Note: Remeasured annual plots represent a complete inventory cycle between measurements of the same plots while spilt annual cycle plots represent a single inventory cycle of plots that are split where remeasurements have yet to occur.,,,,,
