Table A-14:  2011 Energy Consumption Data and CO2 Emissions from Fossil Fuel Combustion by Fuel Type,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Adjusted Consumption (TBtu)a,,,,,,,Emissionsb (MMT CO2 Eq.) from Energy Use,,,,,,
Fuel Type,Res.,Comm.,Ind.,Trans.,Elec. ,Terr.,Total,Res.,Comm.,Ind.,Trans.,Elec. ,Terr.,Total
Total Coal,NE,61.7,866.1,NE,"18,035.20",36.9,"18,999.90",NE,5.8,82,NE,"1,722.70",3.4,"1,813.90"
Residential Coal,NE,,,,,,NE,NE,,,,,,NE
Commercial Coal,,61.7,,,,,61.7,,5.8,,,,,5.8
Industrial Other Coal,,,866.1,,,,866.1,,,82,,,,82
Transportation Coal,,,,NE,,,NE,,,,NE,,,NE
Electric Power Coal,,,,,"18,035.20",,"18,035.20",,,,,"1,722.70",,"1,722.70"
U.S. Territory Coal (bit),,,,,,36.9,36.9,,,,,,3.4,3.4
Natural Gas ,"4,804.60","3,216.10","7,873.40",733.5,"7,712.20",27.1,"24,366.90",254.7,170.5,417.3,38.9,408.8,1.4,"1,291.50"
Total Petroleum,"1,059.70",625.4,"3,645.50","23,145.20",295,503.8,"29,274.60",72.2,44.5,274,"1,668.80",25.8,36.7,"2,121.90"
Asphalt & Road Oil,,,,,,,,,,,,,,
Aviation Gasoline,,,,27.1,,,27.1,,,,1.9,,,1.9
Distillate Fuel Oil,534.8,400.5,"1,255.80","5,814.50",63.7,79.3,"8,148.50",39.6,29.6,92.9,430,4.7,5.9,602.6
Jet Fuel,,,,"2,029.90",NA,58.5,"2,088.40",,,,146.6,,4.2,150.8
Kerosene,18.5,3.2,3.6,,,7.6,32.9,1.4,0.2,0.3,,,0.6,2.4
LPG,506.4,146.5,208.8,34,,14.2,909.8,31.2,9,12.9,2.1,,0.9,56.1
Lubricants,,,,,,,,,,,,,,
Motor Gasoline,,21.3,123.2,"14,981.80",,186.6,"15,313.00",,1.5,8.8,"1,068.80",,13.3,"1,092.40"
Residual Fuel,,53.7,46.9,258,93.1,157.6,609.2,,4,3.5,19.4,7,11.8,45.7
Other Petroleum,,,,,,,,,,,,,,
AvGas Blend Components,,,0,,,,0,,,0,,,,0
Crude Oil,,,,,,,,,,,,,,
MoGas Blend Components,,,,,,,,,,,,,,
Misc. Products,,,,,,,,,,,,,,
Naphtha (<401 deg. F),,,,,,,,,,,,,,
Other Oil (>401 deg. F),,,,,,,,,,,,,,
Pentanes Plus,,,27.3,,,,27.3,,,1.9,,,,1.9
Petroleum Coke,,0.2,600.3,,138.3,,738.8,,0,61.3,,14.1,,75.4
Still Gas,,,"1,323.40",,,,"1,323.40",,,88.3,,,,88.3
Special Naphtha,,,,,,,,,,,,,,
Unfinished Oils,,,56.1,,,,56.1,,,4.2,,,,4.2
Waxes,,,,,,,,,,,,,,
Geothermal,,,,,52.3,,52.3,,,,,0.4,,0.4
Total (All Fuels),"5,864.20","3,903.30","12,385.00","23,878.70","26,094.70",567.8,"72,693.60",326.8,220.7,773.3,"1,707.60","2,157.70",41.5,"5,227.70"
,,,,,,,,,,,,,,
"a Expressed as gross calorific values (i.e., higher heating values).  ",,,,,,,,,,,,,,
"b Adjustments are subtracted from total consumption estimates and include biofuels, conversion of fossil fuels, non-energy use (see Table A-36), and international bunker fuel consumption (see Table A-37).",,,,,,,,,,,,,,
Note: Parentheses indicate negative values. NE (Not Estimated); NA (Not Available).,,,,,,,,,,,,,,
