Table A-30:  1995 Energy Consumption Data and CO2 Emissions from Fossil Fuel Combustion by Fuel Type,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Adjusted Consumption (TBtu)a,,,,,,,Emissionsb (MMT CO2 Eq.) from Energy Use,,,,,,
Fuel Type,Res.,Comm.,Ind.,Trans.,Elec. ,Terr.,Total,Res.,Comm.,Ind.,Trans.,Elec. ,Terr.,Total
Total Coal,17.5,116.8,"1,526.90",NE,"17,466.30",10.2,"19,137.70",1.7,11.2,144.4,NE,"1,660.70",0.9,"1,819.00"
Residential Coal,17.5,,,,,,17.5,1.7,,,,,,1.7
Commercial Coal,,116.8,,,,,116.8,,11.2,,,,,11.2
Industrial Other Coal,,,"1,526.90",,,,"1,526.90",,,144.4,,,,144.4
Transportation Coal,,,,NE,,,NE,,,,NE,,,NE
Electric Power Coal,,,,,"17,466.30",,"17,466.30",,,,,"1,660.70",,"1,660.70"
U.S. Territory Coal (bit),,,,,,10.2,10.2,,,,,,0.9,0.9
Natural Gas ,"4,954.20","3,096.00","8,722.50",724,"4,302.00",,"21,798.60",262.7,164.2,462.5,38.4,228.1,,"1,155.90"
Total Petroleum,"1,262.30",695,"3,542.80","21,939.90",754.5,461.9,"28,656.30",88.5,50.2,263.6,"1,571.50",58.7,33.6,"2,066.00"
Asphalt & Road Oil,,,,,,,,,,,,,,
Aviation Gasoline,,,,39.6,,,39.6,,,,2.7,,,2.7
Distillate Fuel Oil,793.2,419.8,969.7,"4,379.40",108,89.5,"6,759.50",58.7,31,71.7,323.9,8,6.6,499.9
Jet Fuel,,,,"2,428.80",NA,75.7,"2,504.50",,,,172.2,,5.4,177.6
Kerosene,74.3,22.1,15.4,,,3.6,115.4,5.4,1.6,1.1,,,0.3,8.4
LPG,394.8,108.7,403.4,17.7,,5.6,930.2,24.4,6.7,24.9,1.1,,0.3,57.4
Lubricants,,,,,,,,,,,,,,
Motor Gasoline,,2.7,30.1,"14,687.10",,146.8,"14,866.60",,0.2,2.1,"1,042.40",,10.4,"1,055.20"
Residual Fuel,,141.5,286.2,387.3,566,140.7,"1,521.60",,10.6,21.5,29.1,42.5,10.6,114.3
Other Petroleum,,,,,,,,,,,,,,
AvGas Blend Components,,,5.3,,,,5.3,,,0.4,,,,0.4
Crude Oil,,,14.5,,,,14.5,,,1.1,,,,1.1
MoGas Blend Components,,,,,,,,,,,,,,
Misc. Products,,,,,,,,,,,,,,
Naphtha (<401 deg. F),,,,,,,,,,,,,,
Other Oil (>401 deg. F),,,,,,,,,,,,,,
Pentanes Plus,,,169,,,,169,,,11.8,,,,11.8
Petroleum Coke,,0.1,600.7,,80.6,,681.4,,0,61.3,,8.2,,69.6
Still Gas,,,"1,369.50",,,,"1,369.50",,,91.4,,,,91.4
Special Naphtha,,,,,,,,,,,,,,
Unfinished Oils,,,-320.9,,,,-320.9,,,-23.8,,,,-23.8
Waxes,,,,,,,,,,,,,,
Geothermal,,,,,45.6,,45.6,,,,,0.3,,0.3
Total Coal,"6,233.90","3,907.80","13,792.30","22,663.80","22,568.40",472.1,"69,638.30",352.8,225.6,870.5,"1,609.90","1,947.90",34.5,"5,041.20"
"a Expressed as gross calorific values (i.e., higher heating values).  Adjustments include biofuels, conversion of fossil fuels, non-energy use (see Table A-36), and international bunker fuel consumption (see Table A-37).",,,,,,,,,,,,,,
b Consumption and/or emissions of select fuels are shown as negative due to differences in EIA energy balancing accounting.  These are designated with parentheses. ,,,,,,,,,,,,,,
NE (Not Estimated); NA (Not Available),,,,,,,,,,,,,,
