Table A-17:  2008 Energy Consumption Data and CO2 Emissions from Fossil Fuel Combustion by Fuel Type,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Adjusted Consumption (TBtu)a,,,,,,,Emissionsb (MMT CO2 Eq.) from Energy Use,,,,,,
Fuel Type,Res.,Comm.,Ind.,Trans.,Elec. ,Terr.,Total,Res.,Comm.,Ind.,Trans.,Elec. ,Terr.,Total
Total Coal,NE,80.8,"1,081.50",NE,"20,513.00",36.9,"21,712.00",NE,7.6,102.4,NE,"1,959.40",3.4,"2,072.80"
Residential Coal,NE,,,,,,NE,NE,,,,,,NE
Commercial Coal,,80.8,,,,,80.8,,7.6,,,,,7.6
Industrial Other Coal,,,"1,081.50",,,,"1,081.50",,,102.4,,,,102.4
Transportation Coal,,,,NE,,,NE,,,,NE,,,NE
Electric Power Coal,,,,,"20,513.00",,"20,513.00",,,,,"1,959.40",,"1,959.40"
U.S. Territory Coal (bit),,,,,,36.9,36.9,,,,,,3.4,3.4
Natural Gas ,"5,010.10","3,228.40","7,571.40",692.1,"6,828.90",29.3,"23,360.20",265.5,171.1,401.3,36.7,361.9,1.6,"1,238.10"
Total Petroleum,"1,201.50",635,"3,994.00","24,342.50",459.3,489.9,"31,122.20",82.1,44.9,299.2,"1,755.10",38.4,35.8,"2,255.50"
Asphalt & Road Oil,,,,,,,,,,,,,,
Aviation Gasoline,,,,28.3,,,28.3,,,,2,,,2
Distillate Fuel Oil,627.5,321.3,"1,103.10","6,058.80",72.5,110.3,"8,293.50",46.4,23.8,81.6,448.1,5.4,8.2,613.4
Jet Fuel,,,,"2,396.10",NA,35,"2,431.10",,,,173,,2.5,175.6
Kerosene,21.3,4.4,3.8,,,5.9,35.4,1.6,0.3,0.3,,,0.4,2.6
LPG,552.7,158,226.7,40.1,,15.7,993.3,34.1,9.7,14,2.5,,1,61.3
Lubricants,,,,,,,,,,,,,,
Motor Gasoline,,80,437.3,"15,547.90",,133.7,"16,198.90",,5.7,31.2,"1,109.20",,9.5,"1,155.60"
Residual Fuel,,71,131.5,271.3,240.4,189.3,903.5,,5.3,9.9,20.4,18.1,14.2,67.8
Other Petroleum,,,,,,,,,,,,,,
AvGas Blend Components,,,0.1,,,,0.1,,,0,,,,0
Crude Oil,,,,,,,,,,,,,,
MoGas Blend Components,,,,,,,,,,,,,,
Misc. Products,,,,,,,,,,,,,,
Naphtha (<401 deg. F),,,,,,,,,,,,,,
Other Oil (>401 deg. F),,,,,,,,,,,,,,
Pentanes Plus,,,76.5,,,,76.5,,,5.4,,,,5.4
Petroleum Coke,,0.3,645.7,,146.4,,792.3,,0,65.9,,14.9,,80.9
Still Gas,,,"1,423.00",,,,"1,423.00",,,94.9,,,,94.9
Special Naphtha,,,,,,,,,,,,,,
Unfinished Oils,,,-53.7,,,,-53.7,,,-4,,,,-4
Waxes,,,,,,,,,,,,,,
Geothermal,,,,,50.6,,50.6,,,,,0.4,,0.4
Total (All Fuels),"6,211.60","3,944.20","12,646.80","25,034.60","27,851.80",556,"76,245.10",347.6,223.6,802.8,"1,791.80","2,360.10",40.8,"5,566.70"
"a Expressed as gross calorific values (i.e., higher heating values).  ",,,,,,,,,,,,,,
"b Adjustments are subtracted from total consumption estimates and include biofuels, conversion of fossil fuels, non-energy use (see Table A-36 ), and international bunker fuel consumption (see Table A-37).",,,,,,,,,,,,,,
Note: Parentheses indicate negative values. NE (Not Estimated); NA (Not Available).,,,,,,,,,,,,,,
