Table A-11:  2014 Energy Consumption Data and CO2 Emissions from Fossil Fuel Combustion by Fuel Type,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Adjusted Consumption (TBtu)a,,,,,,,Emissionsb (MMT CO2 Eq.) from Energy Use,,,,,,
Fuel Type,Res.,Comm.,Ind.,Trans.,Elec. ,Terr.,Total,Res.,Comm.,Ind.,Trans.,Elec. ,Terr.,Total
Total Coal,NE,47.9,795.5,NE,"16,441.00",36.9,"17,321.30",NE,4.5,75.3,NE,"1,570.40",3.4,"1,653.70"
Residential Coal,NE,,,,,,NE,NE,,,,,,NE
Commercial Coal,,47.9,,,,,47.9,,4.5,,,,,4.5
Industrial Other Coal,,,795.5,,,,795.5,,,75.3,,,,75.3
Transportation Coal,,,,NE,,,NE,,,,NE,,,NE
Electric Power Coal,,,,,"16,441.00",,"16,441.00",,,,,"1,570.40",,"1,570.40"
U.S. Territory Coal (bit),,,,,,36.9,36.9,,,,,,3.4,3.4
Natural Gas ,"5,237.30","3,568.80","8,792.50",898.9,"8,361.70",56.6,"26,915.70",277.6,189.2,466,47.6,443.2,3,"1,426.60"
Total Petroleum,989.6,543.2,"3,638.90","23,444.00",295.5,475.3,"29,386.50",67.5,38.2,271.9,"1,690.00",25.3,34.6,"2,127.50"
Asphalt & Road Oil,,,,,,,,,,,,,,
Aviation Gasoline,,,,21.7,,,21.7,,,,1.5,,,1.5
Distillate Fuel Oil,513.9,343.7,"1,308.90","6,052.20",82.2,74.9,"8,375.70",38,25.4,96.8,447.6,6.1,5.5,619.4
Jet Fuel,,,,"2,057.00",NA,55.2,"2,112.20",,,,148.6,,4,152.5
Kerosene,13.7,2,2.8,,,7.2,25.8,1,0.1,0.2,,,0.5,1.9
LPG,462,151.2,284.6,43.7,,13.4,954.8,28.5,9.3,17.6,2.7,,0.8,58.9
Lubricants,,,,,,,,,,,,,,
Motor Gasoline,,37.9,134.7,"15,192.00",,175.9,"15,540.50",,2.7,9.6,"1,083.80",,12.5,"1,108.60"
Residual Fuel,,7.9,,77.4,95.1,148.7,329.2,,0.6,,5.8,7.1,11.2,24.7
Other Petroleum,,,,,,,,,,,,,,
AvGas Blend Components,,,-0.1,,,,-0.1,,,0,,,,0
Crude Oil,,,,,,,,,,,,,,
MoGas Blend Components,,,,,,,,,,,,,,
Misc. Products,,,,,,,,,,,,,,
Naphtha (<401 deg. F),,,,,,,,,,,,,,
Other Oil (>401 deg. F),,,,,,,,,,,,,,
Pentanes Plus,,,44.2,,,,44.2,,,3.1,,,,3.1
Petroleum Coke,,0.5,592.1,,118.2,,710.8,,0.1,60.5,,12.1,,72.6
Still Gas,,,"1,352.40",,,,"1,352.40",,,90.2,,,,90.2
Special Naphtha,,,,,,,,,,,,,,
Unfinished Oils,,,-80.6,,,,-80.6,,,-6,,,,-6
Waxes,,,,,,,,,,,,,,
Geothermal,,,,,54.2,,54.2,,,,,0.4,,0.4
Total (All Fuels),"6,226.80","4,159.90","13,226.90","24,342.90","25,152.40",568.7,"73,677.70",345.1,231.9,813.3,"1,737.60","2,039.30",41,"5,208.20"
"a Expressed as gross calorific values (i.e., higher heating values).  ",,,,,,,,,,,,,,
"b Adjustments are subtracted from total consumption estimates and include biofuels, conversion of fossil fuels, non-energy use (see Table A-36), and international bunker fuel consumption (see Table A-37).",,,,,,,,,,,,,,
NE (Not Estimated),,,,,,,,,,,,,,
NA (Not Available),,,,,,,,,,,,,,
Note: Parentheses indicate negative values.,,,,,,,,,,,,,,
