Table A-34:  1991 Energy Consumption Data and CO2 Emissions from Fossil Fuel Combustion by Fuel Type,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Adjusted Consumption (TBtu)a,,,,,,,Emissionsb (MMT CO2 Eq.) from Energy Use,,,,,,
Fuel Type,Res.,Comm.,Ind.,Trans.,Elec. ,Terr.,Total,Res.,Comm.,Ind.,Trans.,Elec. ,Terr.,Total
Total Coal,25.4,115.5,"1,602.70",NE,"16,249.70",7.7,"18,001.00",2.4,11.1,152.1,NE,"1,548.20",0.7,"1,714.60"
Residential Coal,25.4,,,,,,25.4,2.4,,,,,,2.4
Commercial Coal,,115.5,,,,,115.5,,11.1,,,,,11.1
Industrial Other Coal,,,"1,602.70",,,,"1,602.70",,,152.1,,,,152.1
Transportation Coal,,,,NE,,,NE,,,,NE,,,NE
Electric Power Coal,,,,,"16,249.70",,"16,249.70",,,,,"1,548.20",,"1,548.20"
U.S. Territory Coal (bit),,,,,,7.7,7.7,,,,,,0.7,0.7
Natural Gas ,"4,667.20","2,795.40","7,827.80",620.3,"3,377.40",,"19,288.10",247.3,148.1,414.7,32.9,178.9,,"1,021.80"
Total Petroleum,"1,381.50",881.8,"3,430.90","19,715.80","1,198.30",425.4,"27,033.60",97.5,64,255.7,"1,414.70",90.7,30.9,"1,953.50"
Asphalt & Road Oil,,,,,,,,,,,,,,
Aviation Gasoline,,,,41.7,,,41.7,,,,2.9,,,2.9
Distillate Fuel Oil,931,517.7,"1,050.80","3,449.70",83.6,71.4,"6,104.10",68.9,38.3,77.7,255.1,6.2,5.3,451.4
Jet Fuel,,,,"2,373.60",NA,78.2,"2,451.80",,,,168.8,,5.6,174.4
Kerosene,72.3,12.1,11.4,,,2.8,98.6,5.3,0.9,0.8,,,0.2,7.2
LPG,378.1,108.2,342.2,21.1,,13.8,863.5,23.3,6.7,21.1,1.3,,0.9,53.3
Lubricants,,,,,,,,,,,,,,
Motor Gasoline,,31.8,72.3,"13,605.30",,124.7,"13,834.10",,2.3,5.2,969.7,,8.9,986
Residual Fuel,,211.9,270.9,224.4,"1,085.30",134.6,"1,927.20",,15.9,20.3,16.9,81.5,10.1,144.7
Other Petroleum,,,,,,,,,,,,,,
AvGas Blend Components,,,-0.1,,,,-0.1,,,0,,,,0
Crude Oil,,,39,,,,39,,,2.9,,,,2.9
MoGas Blend Components,,,-25.9,,,,-25.9,,,-1.8,,,,-1.8
Misc. Products,,,,,,,,,,,,,,
Naphtha (<401 deg. F),,,,,,,,,,,,,,
Other Oil (>401 deg. F),,,,,,,,,,,,,,
Pentanes Plus,,,147,,,,147,,,10.3,,,,10.3
Petroleum Coke,,,587.6,,29.3,,616.9,,,60,,3,,63
Still Gas,,,"1,385.90",,,,"1,385.90",,,92.5,,,,92.5
Special Naphtha,,,,,,,,,,,,,,
Unfinished Oils,,,-450.2,,,,-450.2,,,-33.3,,,,-33.3
Waxes,,,,,,,,,,,,,,
Geothermal,,,,,54.5,,54.5,,,,,0.4,,0.4
Total Coal,"6,074.00","3,792.70","12,861.40","20,336.10","20,879.80",433.2,"64,377.20",347.2,223.3,822.5,"1,447.60","1,818.20",31.6,"4,690.30"
"a Expressed as gross calorific values (i.e., higher heating values).  Adjustments include biofuels, conversion of fossil fuels, non-energy use (see Table A-36), and international bunker fuel consumption (see Table A-37).",,,,,,,,,,,,,,
b Consumption and/or emissions of select fuels are shown as negative due to differences in EIA energy balancing accounting.  These are designated with parentheses. ,,,,,,,,,,,,,,
NE (Not Estimated); NA (Not Available),,,,,,,,,,,,,,
