Table A-29:  1996 Energy Consumption Data and CO2 Emissions from Fossil Fuel Combustion by Fuel Type,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Adjusted Consumption (TBtu)a,,,,,,,Emissionsb (MMT CO2 Eq.) from Energy Use,,,,,,
Fuel Type,Res.,Comm.,Ind.,Trans.,Elec. ,Terr.,Total,Res.,Comm.,Ind.,Trans.,Elec. ,Terr.,Total
Total Coal,16.6,121.6,"1,454.90",NE,"18,429.00",10.3,"20,032.40",1.6,11.6,137.4,NE,"1,752.40",1,"1,903.90"
Residential Coal,16.6,,,,,,16.6,1.6,,,,,,1.6
Commercial Coal,,121.6,,,,,121.6,,11.6,,,,,11.6
Industrial Other Coal,,,"1,454.90",,,,"1,454.90",,,137.4,,,,137.4
Transportation Coal,,,,NE,,,NE,,,,NE,,,NE
Electric Power Coal,,,,,"18,429.00",,"18,429.00",,,,,"1,752.40",,"1,752.40"
U.S. Territory Coal (bit),,,,,,10.3,10.3,,,,,,1,1
Natural Gas ,"5,354.40","3,226.30","9,020.30",736.9,"3,862.40",,"22,200.40",283.9,171.1,478.3,39.1,204.8,,"1,177.20"
Total Petroleum,"1,398.00",719.1,"3,914.40","22,506.20",817.3,434.7,"29,789.70",97.6,51.8,291.7,"1,615.20",63.4,31.6,"2,151.30"
Asphalt & Road Oil,,,,,,,,,,,,,,
Aviation Gasoline,,,,37.4,,,37.4,,,,2.6,,,2.6
Distillate Fuel Oil,840.5,438.3,"1,050.90","4,594.90",109.3,76.5,"7,110.40",62.2,32.4,77.7,339.8,8.1,5.7,525.9
Jet Fuel,,,,"2,556.00",NA,78.5,"2,634.50",,,,184.6,,5.7,190.3
Kerosene,88.8,21,18.3,,,3,131.1,6.5,1.5,1.3,,,0.2,9.6
LPG,468.7,122.4,401.7,15.6,,7.3,"1,015.80",28.9,7.5,24.8,1,,0.5,62.6
Lubricants,,,,,,,,,,,,,,
Motor Gasoline,,,,"14,987.50",,151.4,"15,138.90",,,,"1,063.60",,10.7,"1,074.40"
Residual Fuel,,137.2,284.7,314.9,628.4,118,"1,483.10",,10.3,21.4,23.6,47.2,8.9,111.4
Other Petroleum,,,,,,,,,,,,,,
AvGas Blend Components,,,7,,,,7,,,0.5,,,,0.5
Crude Oil,,,13.7,,,,13.7,,,1,,,,1
MoGas Blend Components,,,,,,,,,,,,,,
Misc. Products,,,,,,,,,,,,,,
Naphtha (<401 deg. F),,,,,,,,,,,,,,
Other Oil (>401 deg. F),,,,,,,,,,,,,,
Pentanes Plus,,,177.5,,,,177.5,,,12.4,,,,12.4
Petroleum Coke,,0.1,638.6,,79.6,,718.3,,0,65.2,,8.1,,73.3
Still Gas,,,"1,434.90",,,,"1,434.90",,,95.7,,,,95.7
Special Naphtha,,,,,,,,,,,,,,
Unfinished Oils,,,-112.8,,,,-112.8,,,-8.4,,,,-8.4
Waxes,,,,,,,,,,,,,,
Geothermal,,,,,48.9,,48.9,,,,,0.4,,0.4
Total (All Fuels),"6,769.00","4,067.00","14,389.70","23,243.10","23,157.60",445,"72,071.40",383.1,234.5,907.4,"1,654.30","2,021.00",32.6,"5,232.80"
"a Expressed as gross calorific values (i.e., higher heating values).  Adjustments include biofuels, conversion of fossil fuels, non-energy use (see Table A-36), and international bunker fuel consumption (see Table A-37).",,,,,,,,,,,,,,
b Consumption and/or emissions of select fuels are shown as negative due to differences in EIA energy balancing accounting.  These are designated with parentheses. ,,,,,,,,,,,,,,
NE (Not Estimated); NA (Not Available),,,,,,,,,,,,,,
