Table A-31:  1994 Energy Consumption Data and CO2 Emissions from Fossil Fuel Combustion by Fuel Type,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Adjusted Consumption (TBtu)a,,,,,,,Emissionsb (MMT CO2 Eq.) from Energy Use,,,,,,
Fuel Type,Res.,Comm.,Ind.,Trans.,Elec. ,Terr.,Total,Res.,Comm.,Ind.,Trans.,Elec. ,Terr.,Total
Total Coal,20.8,118.1,"1,594.90",NE,"17,260.90",10,"19,004.70",2,11.3,150.7,NE,"1,638.80",0.9,"1,803.70"
Residential Coal,20.8,,,,,,20.8,2,,,,,,2
Commercial Coal,,118.1,,,,,118.1,,11.3,,,,,11.3
Industrial Other Coal,,,"1,594.90",,,,"1,594.90",,,150.7,,,,150.7
Transportation Coal,,,,NE,,,NE,,,,NE,,,NE
Electric Power Coal,,,,,"17,260.90",,"17,260.90",,,,,"1,638.80",,"1,638.80"
U.S. Territory Coal (bit),,,,,,10,10,,,,,,0.9,0.9
Natural Gas ,"4,959.80","2,962.00","8,290.30",708.5,"3,977.30",,"20,897.90",262.9,157,439.4,37.6,210.8,,"1,107.60"
Total Petroleum,"1,306.70",746.7,"3,699.50","21,494.20","1,058.70",506.3,"28,812.10",91.9,54.1,274.7,"1,539.40",81.2,36.9,"2,078.30"
Asphalt & Road Oil,,,,,,,,,,,,,,
Aviation Gasoline,,,,38.1,,,38.1,,,,2.6,,,2.6
Distillate Fuel Oil,858.1,447.9,977.4,"4,183.30",120,118.8,"6,705.40",63.5,33.1,72.3,309.4,8.9,8.8,495.9
Jet Fuel,,,,"2,473.80",NA,65.8,"2,539.50",,,,175.5,,4.7,180.2
Kerosene,64.9,19.5,16.9,,,3,104.3,4.8,1.4,1.2,,,0.2,7.6
LPG,383.7,107.3,423.1,34,,7.3,955.3,23.7,6.6,26.1,2.1,,0.4,59
Lubricants,,,,,,,,,,,,,,
Motor Gasoline,,,,"14,407.00",,147.4,"14,554.40",,,,"1,022.90",,10.5,"1,033.40"
Residual Fuel,,171.9,368.4,358.1,869,164.1,"1,931.50",,12.9,27.7,26.9,65.3,12.3,145
Other Petroleum,,,,,,,,,,,,,,
AvGas Blend Components,,,6.1,,,,6.1,,,0.4,,,,0.4
Crude Oil,,,18.7,,,,18.7,,,1.4,,,,1.4
MoGas Blend Components,,,,,,,,,,,,,,
Misc. Products,,,,,,,,,,,,,,
Naphtha (<401 deg. F),,,,,,,,,,,,,,
Other Oil (>401 deg. F),,,,,,,,,,,,,,
Pentanes Plus,,,169.4,,,,169.4,,,11.9,,,,11.9
Petroleum Coke,,0.1,594.9,,69.7,,664.7,,0,60.7,,7.1,,67.9
Still Gas,,,"1,404.00",,,,"1,404.00",,,93.7,,,,93.7
Special Naphtha,,,,,,,,,,,,,,
Unfinished Oils,,,-279.2,,,,-279.2,,,-20.7,,,,-20.7
Waxes,,,,,,,,,,,,,,
Geothermal,,,,,53,,53,,,,,0.4,,0.4
Total Coal,"6,287.40","3,826.80","13,584.70","22,202.80","22,349.90",516.3,"68,767.80",356.8,222.4,864.8,"1,577.00","1,931.20",37.8,"4,990.00"
"a Expressed as gross calorific values (i.e., higher heating values).  Adjustments include biofuels, conversion of fossil fuels, non-energy use (see Table A-36), and international bunker fuel consumption (see Table A-37).",,,,,,,,,,,,,,
b Consumption and/or emissions of select fuels are shown as negative due to differences in EIA energy balancing accounting.  These are designated with parentheses. ,,,,,,,,,,,,,,
NE (Not Estimated); NA (Not Available),,,,,,,,,,,,,,
