Table A-20:  2005 Energy Consumption Data and CO2 Emissions from Fossil Fuel Combustion by Fuel Type,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Adjusted Consumption (TBtu)a,,,,,,,Emissionsb (MMT CO2 Eq.) from Energy Use,,,,,,
Fuel Type,Res.,Comm.,Ind.,Trans.,Elec. ,Terr.,Total,Res.,Comm.,Ind.,Trans.,Elec. ,Terr.,Total
Total Coal,8.4,97,"1,219.10",NE,"20,737.20",32.7,"22,094.50",0.8,9.3,115.3,NE,"1,983.80",3,"2,112.30"
Residential Coal,8.4,,,,,,8.4,0.8,,,,,,0.8
Commercial Coal,,97,,,,,97,,9.3,,,,,9.3
Industrial Other Coal,,,"1,219.10",,,,"1,219.10",,,115.3,,,,115.3
Transportation Coal,,,,NE,,,NE,,,,NE,,,NE
Electric Power Coal,,,,,"20,737.20",,"20,737.20",,,,,"1,983.80",,"1,983.80"
U.S. Territory Coal (bit),,,,,,32.7,32.7,,,,,,3,3
Natural Gas ,"4,946.40","3,073.20","7,329.70",623.9,"6,014.50",24.3,"22,012.00",262.2,162.9,388.5,33.1,318.8,1.3,"1,166.70"
Total Petroleum,"1,368.30",715.6,"4,327.70","25,799.20","1,222.10",622.7,"34,055.50",94.9,51.3,324.2,"1,854.00",97.9,45.6,"2,467.80"
Asphalt & Road Oil,,,,,,,,,,,,,,
Aviation Gasoline,,,,35.4,,,35.4,,,,2.4,,,2.4
Distillate Fuel Oil,771.6,404.2,"1,127.50","6,186.20",114.5,121.3,"8,725.40",57.1,29.9,83.4,457.5,8.5,9,645.3
Jet Fuel,,,,"2,621.70",NA,66,"2,687.70",,,,189.3,,4.8,194.1
Kerosene,83.8,21.6,39.1,,,5.8,150.2,6.1,1.6,2.9,,,0.4,11
LPG,512.9,131.4,349.6,28.2,,0.8,"1,022.80",31.7,8.1,21.6,1.7,,0,63.1
Lubricants,,,,,,,,,,,,,,
Motor Gasoline,,42.3,328.9,"16,671.30",,193.6,"17,236.10",,3,23.4,"1,183.70",,13.7,"1,223.80"
Residual Fuel,,115.8,237.4,256.4,876.5,235.2,"1,721.30",,8.7,17.8,19.3,65.8,17.7,129.3
Other Petroleum,,,,,,,,,,,,,,
AvGas Blend Components,,,8.3,,,,8.3,,,0.6,,,,0.6
Crude Oil,,,,,,,,,,,,,,
MoGas Blend Components,,,,,,,,,,,,,,
Misc. Products,,,,,,,,,,,,,,
Naphtha (<401 deg. F),,,,,,,,,,,,,,
Other Oil (>401 deg. F),,,,,,,,,,,,,,
Pentanes Plus,,,98.1,,,,98.1,,,6.9,,,,6.9
Petroleum Coke,,0.3,706.6,,231.1,,938,,0,72.1,,23.6,,95.8
Still Gas,,,"1,429.40",,,,"1,429.40",,,95.4,,,,95.4
Special Naphtha,,,,,,,,,,,,,,
Unfinished Oils,,,2.8,,,,2.8,,,0.2,,,,0.2
Waxes,,,,,,,,,,,,,,
Geothermal,,,,,50.1,,50.1,,,,,0.4,,0.4
Total (All Fuels),"6,323.10","3,885.80","12,876.60","26,423.10","28,024.00",679.7,"78,212.20",357.8,223.5,828,"1,887.00","2,400.90",49.9,"5,747.10"
"a Expressed as gross calorific values (i.e., higher heating values).  Adjustments include biofuels, conversion of fossil fuels, non-energy use (see Table A-36), and international bunker fuel consumption (see Table A-37).",,,,,,,,,,,,,,
b Consumption and/or emissions of select fuels are shown as negative due to differences in EIA energy balancing accounting.  These are designated with parentheses. ,,,,,,,,,,,,,,
NE (Not Estimated); NA (Not Available),,,,,,,,,,,,,,
