Table A-26:  1999 Energy Consumption Data and CO2 Emissions from Fossil Fuel Combustion by Fuel Type,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Adjusted Consumption (TBtu)a,,,,,,,Emissionsb (MMT CO2 Eq.) from Energy Use,,,,,,
Fuel Type,Res.,Comm.,Ind.,Trans.,Elec. ,Terr.,Total,Res.,Comm.,Ind.,Trans.,Elec. ,Terr.,Total
Total Coal,14,102.5,"1,372.80",NE,"19,279.50",10.2,"20,779.00",1.3,9.8,129.9,NE,"1,836.40",0.9,"1,978.30"
Residential Coal,14,,,,,,14,1.3,,,,,,1.3
Commercial Coal,,102.5,,,,,102.5,,9.8,,,,,9.8
Industrial Other Coal,,,"1,372.80",,,,"1,372.80",,,129.9,,,,129.9
Transportation Coal,,,,NE,,,NE,,,,NE,,,NE
Electric Power Coal,,,,,"19,279.50",,"19,279.50",,,,,"1,836.40",,"1,836.40"
U.S. Territory Coal (bit),,,,,,10.2,10.2,,,,,,0.9,0.9
Natural Gas ,"4,834.90","3,115.00","8,424.60",675.3,"4,902.10",,"21,952.00",256.3,165.1,446.6,35.8,259.9,,"1,163.80"
Total Petroleum,"1,344.00",614.9,"3,580.60","24,062.30","1,211.20",461.1,"31,274.10",92.9,43.8,269.4,"1,725.30",93.8,33.5,"2,258.90"
Asphalt & Road Oil,,,,,,,,,,,,,,
Aviation Gasoline,,,,39.2,,,39.2,,,,2.7,,,2.7
Distillate Fuel Oil,706.9,374.4,986.1,"5,245.80",140,79.4,"7,532.50",52.3,27.7,72.9,388,10.4,5.9,557.1
Jet Fuel,,,,"2,664.80",NA,59.5,"2,724.40",,,,192.5,,4.3,196.8
Kerosene,111.2,26.9,12.8,,,3.7,154.7,8.1,2,0.9,,,0.3,11.3
LPG,526,140.2,395.9,14.3,,8.3,"1,084.60",32.5,8.7,24.5,0.9,,0.5,67.1
Lubricants,,,,,,,,,,,,,,
Motor Gasoline,,,,"15,922.50",,164.1,"16,086.60",,,,"1,128.00",,11.6,"1,139.70"
Residual Fuel,,73.3,150.9,175.7,958.7,146,"1,504.60",,5.5,11.3,13.2,72,11,113
Other Petroleum,,,,,,,,,,,,,,
AvGas Blend Components,,,6.4,,,,6.4,,,0.4,,,,0.4
Crude Oil,,,,,,,,,,,,,,
MoGas Blend Components,,,,,,,,,,,,,,
Misc. Products,,,,,,,,,,,,,,
Naphtha (<401 deg. F),,,,,,,,,,,,,,
Other Oil (>401 deg. F),,,,,,,,,,,,,,
Pentanes Plus,,,182.5,,,,182.5,,,12.8,,,,12.8
Petroleum Coke,,0.1,719.8,,112.5,,832.4,,0,73.5,,11.5,,85
Still Gas,,,"1,414.10",,,,"1,414.10",,,94.3,,,,94.3
Special Naphtha,,,,,,,,,,,,,,
Unfinished Oils,,,-287.9,,,,-287.9,,,-21.3,,,,-21.3
Waxes,,,,,,,,,,,,,,
Geothermal,,,,,50.6,,50.6,,,,,0.4,,0.4
Total (All Fuels),"6,192.90","3,832.50","13,378.00","24,737.60","25,443.40",471.3,"74,055.70",350.6,218.8,845.9,"1,761.10","2,190.50",34.5,"5,401.30"
"a Expressed as gross calorific values (i.e., higher heating values).  Adjustments include biofuels, conversion of fossil fuels, non-energy use (see Table A-36), and international bunker fuel consumption (see Table A-37).",,,,,,,,,,,,,,
b Consumption and/or emissions of select fuels are shown as negative due to differences in EIA energy balancing accounting.  These are designated with parentheses. ,,,,,,,,,,,,,,
NE (Not Estimated); NA (Not Available),,,,,,,,,,,,,,
