Table A-35:  1990 Energy Consumption Data and CO2 Emissions from Fossil Fuel Combustion by Fuel Type,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Adjusted Consumption (TBtu)a,,,,,,,Emissionsb (MMT CO2 Eq.) from Energy Use,,,,,,
Fuel Type,Res.,Comm.,Ind.,Trans.,Elec. ,Terr.,Total,Res.,Comm.,Ind.,Trans.,Elec. ,Terr.,Total
Total Coal,31.1,124.5,"1,640.50",NE,"16,261.00",7,"18,064.00",3,12,155.3,NE,"1,547.60",0.6,"1,718.40"
Residential Coal,31.1,,,,,,31.1,3,,,,,,3
Commercial Coal,,124.5,,,,,124.5,,12,,,,,12
Industrial Other Coal,,,"1,640.50",,,,"1,640.50",,,155.3,,,,155.3
Transportation Coal,,,,NE,,,NE,,,,NE,,,NE
Electric Power Coal,,,,,"16,261.00",,"16,261.00",,,,,"1,547.60",,"1,547.60"
U.S. Territory Coal (bit),,,,,,7,7,,,,,,0.6,0.6
Natural Gas ,"4,490.90","2,682.20","7,716.40",679.9,"3,308.50",,"18,877.90",238,142.1,408.9,36,175.3,,"1,000.30"
Total Petroleum,"1,375.20",869.4,"3,743.80","20,323.10","1,289.40",374.8,"27,975.70",97.4,63.3,278.3,"1,457.70",97.5,27.2,"2,021.50"
Asphalt & Road Oil,,,,,,,,,,,,,,
Aviation Gasoline,,,,45,,,45,,,,3.1,,,3.1
Distillate Fuel Oil,959.2,525.4,"1,098.50","3,554.80",96.5,74,"6,308.40",70.9,38.9,81.2,262.9,7.1,5.5,466.5
Jet Fuel,,,,"2,590.10",NA,61,"2,651.10",,,,184.2,,4.3,188.6
Kerosene,63.9,11.8,12.3,,,2.6,90.6,4.7,0.9,0.9,,,0.2,6.6
LPG,352.1,102.3,380.2,22.9,,14.4,871.9,21.8,6.3,23.5,1.4,,0.9,53.9
Lubricants,,,,,,,,,,,,,,
Motor Gasoline,,,,"13,810.10",,101,"13,911.10",,,,983.5,,7.2,990.7
Residual Fuel,,229.8,364.1,300.3,"1,162.60",121.8,"2,178.70",,17.3,27.3,22.6,87.3,9.2,163.6
Other Petroleum,,,,,,,,,,,,,,
AvGas Blend Components,,,0.2,,,,0.2,,,0,,,,0
Crude Oil,,,50.9,,,,50.9,,,3.8,,,,3.8
MoGas Blend Components,,,53.7,,,,53.7,,,3.8,,,,3.8
Misc. Products,,,,,,,,,,,,,,
Naphtha (<401 deg. F),,,,,,,,,,,,,,
Other Oil (>401 deg. F),,,,,,,,,,,,,,
Pentanes Plus,,,125.2,,,,125.2,,,8.8,,,,8.8
Petroleum Coke,,,591.2,,30.4,,621.5,,,60.4,,3.1,,63.5
Still Gas,,,"1,436.50",,,,"1,436.50",,,95.8,,,,95.8
Special Naphtha,,,,,,,,,,,,,,
Unfinished Oils,,,-369,,,,-369,,,-27.3,,,,-27.3
Waxes,,,,,,,,,,,,,,
Geothermal,,,,,52.7,,52.7,,,,,0.4,,0.4
Total Coal,"5,897.20","3,676.00","13,100.60","21,003.00","20,911.60",381.9,"64,970.30",338.3,217.4,842.5,"1,493.80","1,820.80",27.9,"4,740.70"
"a Expressed as gross calorific values (i.e., higher heating values).  Adjustments include biofuels, conversion of fossil fuels, non-energy use (see Table A-36), and international bunker fuel consumption (see Table A-37).",,,,,,,,,,,,,,
b Consumption and/or emissions of select fuels are shown as negative due to differences in EIA energy balancing accounting.  These are designated with parentheses. ,,,,,,,,,,,,,,
NE (Not Estimated); NA (Not Available),,,,,,,,,,,,,,
